filepath,classe
images/11336.jpg,No-Anomaly
images/12983.jpg,No-Anomaly
images/11259.jpg,No-Anomaly
images/13083.jpg,No-Anomaly
images/5806.jpg,Cell
images/18972.jpg,No-Anomaly
images/11122.jpg,No-Anomaly
images/10143.jpg,No-Anomaly
images/12794.jpg,No-Anomaly
images/16806.jpg,No-Anomaly
images/5774.jpg,Cell
images/8961.jpg,Vegetation
images/3155.jpg,Shadowing
images/5326.jpg,Cell
images/11974.jpg,No-Anomaly
images/2030.jpg,Diode
images/5082.jpg,Cell
images/7664.jpg,Cracking
images/19346.jpg,No-Anomaly
images/10815.jpg,No-Anomaly
images/18180.jpg,No-Anomaly
images/11527.jpg,No-Anomaly
images/477.jpg,Offline-Module
images/8247.jpg,Soiling
images/365.jpg,Offline-Module
images/7592.jpg,Cracking
images/18586.jpg,No-Anomaly
images/10096.jpg,No-Anomaly
images/4387.jpg,Cell-Multi
images/11573.jpg,No-Anomaly
images/8508.jpg,Vegetation
images/9652.jpg,Vegetation
images/11608.jpg,No-Anomaly
images/10021.jpg,No-Anomaly
images/16414.jpg,No-Anomaly
images/2790.jpg,Shadowing
images/4235.jpg,Cell-Multi
images/7809.jpg,Cracking
images/16111.jpg,No-Anomaly
images/1586.jpg,Diode
images/13862.jpg,No-Anomaly
images/14602.jpg,No-Anomaly
images/8187.jpg,Soiling
images/16629.jpg,No-Anomaly
images/13397.jpg,No-Anomaly
images/5718.jpg,Cell
images/14364.jpg,No-Anomaly
images/13333.jpg,No-Anomaly
images/1450.jpg,Diode
images/12325.jpg,No-Anomaly
images/6542.jpg,Cell
images/6399.jpg,Cell
images/11344.jpg,No-Anomaly
images/3951.jpg,Cell-Multi
images/8560.jpg,Vegetation
images/15509.jpg,No-Anomaly
images/8817.jpg,Vegetation
images/3857.jpg,Cell-Multi
images/10816.jpg,No-Anomaly
images/7322.jpg,Cracking
images/9143.jpg,Vegetation
images/15144.jpg,No-Anomaly
images/11952.jpg,No-Anomaly
images/12856.jpg,No-Anomaly
images/19718.jpg,No-Anomaly
images/16158.jpg,No-Anomaly
images/693.jpg,Offline-Module
images/15066.jpg,No-Anomaly
images/12375.jpg,No-Anomaly
images/17142.jpg,No-Anomaly
images/13393.jpg,No-Anomaly
images/9222.jpg,Vegetation
images/408.jpg,Offline-Module
images/3171.jpg,Shadowing
images/13466.jpg,No-Anomaly
images/19604.jpg,No-Anomaly
images/6608.jpg,Cell
images/8516.jpg,Vegetation
images/10806.jpg,No-Anomaly
images/1863.jpg,Diode
images/4002.jpg,Cell-Multi
images/3893.jpg,Cell-Multi
images/10962.jpg,No-Anomaly
images/19583.jpg,No-Anomaly
images/489.jpg,Offline-Module
images/9267.jpg,Vegetation
images/1154.jpg,Diode
images/12023.jpg,No-Anomaly
